tillage_method,mulch_rate,depth,soil_water
Basins,zero mulch rate,300 mm,34.97483549
Basins,zero mulch rate,300 mm,37.403929
Basins,zero mulch rate,300 mm,33.41803363
Basins,zero mulch rate,300 mm,38.05974479
Basins,zero mulch rate,300 mm,10.12295455
Basins,zero mulch rate,300 mm,10.93013644
Basins,zero mulch rate,300 mm,15.25449427
Basins,zero mulch rate,300 mm,50.92432681
Basins,zero mulch rate,300 mm,41.85468405
Basins,zero mulch rate,300 mm,21.82480226
Basins,zero mulch rate,300 mm,35.69745163
Basins,zero mulch rate,300 mm,15.14364973
Basins,zero mulch rate,300 mm,17.85573529
Basins,zero mulch rate,300 mm,25.65694444
Basins,zero mulch rate,300 mm,27.18204178
Basins,zero mulch rate,300 mm,19.23715909
Basins,zero mulch rate,300 mm,19.64199077
Basins,zero mulch rate,300 mm,29.03112245
Basins,zero mulch rate,300 mm,6.049500555
Basins,zero mulch rate,300 mm,13.75512416
Basins,zero mulch rate,300 mm,18.54554044
Basins,zero mulch rate,600 mm,71.55798422
Basins,zero mulch rate,600 mm,81.00915926
Basins,zero mulch rate,600 mm,65.93221274
Basins,zero mulch rate,600 mm,87.81762894
Basins,zero mulch rate,600 mm,27.26155808
Basins,zero mulch rate,600 mm,26.12513644
Basins,zero mulch rate,600 mm,34.18949045
Basins,zero mulch rate,600 mm,84.17464738
Basins,zero mulch rate,600 mm,66.64897303
Basins,zero mulch rate,600 mm,50.48211537
Basins,zero mulch rate,600 mm,68.92002357
Basins,zero mulch rate,600 mm,38.09363277
Basins,zero mulch rate,600 mm,31.85394775
Basins,zero mulch rate,600 mm,44.81793647
Basins,zero mulch rate,600 mm,49.2615185
Basins,zero mulch rate,600 mm,51.33368921
Basins,zero mulch rate,600 mm,44.31366416
Basins,zero mulch rate,600 mm,63.73439626
Basins,zero mulch rate,600 mm,21.09779421
Basins,zero mulch rate,600 mm,32.36052059
Basins,zero mulch rate,600 mm,33.89234149
Basins,zero mulch rate,900 mm,121.6167338
Basins,zero mulch rate,900 mm,94.14778966
