ripper,plough,basins,soil_type
29.66658946,23.25585038,34.97483549,Sand
28.63219735,28.83263423,37.403929,Sand
22.98387097,30.31766732,33.41803363,Sand
36.80026634,31.07215686,38.05974479,Sand
11.45268375,8.163219481,10.12295455,Sand
14.93333333,9.345779031,10.93013644,Sand
19.43245342,27.26712148,15.25449427,Sand
28.87910518,29.23566598,50.92432681,Sand
24.17211879,20.80183853,41.85468405,Sand
24.07168459,18.94919801,21.82480226,Sand
46.47229428,31.96324084,35.69745163,Sand
10.02203807,10.73174577,15.14364973,Sand
12.66607539,11.37995465,17.85573529,Sand
23.69290281,26.37303527,25.65694444,Sand
43.59256259,36.818361,27.18204178,Sand
24.98323267,21.90004662,19.23715909,Sand
26.48628915,28.38276668,19.64199077,Sand
31.62681435,22.36879,29.03112245,Sand
19.37237809,19.73670807,6.049500555,Sand
12.08210685,16.98195674,13.75512416,Sand
20.5965368,20.63062004,18.54554044,Sand
29.92044507,32.89107961,38.28599362,Sand
30.80989643,27.82815126,28.88258363,Sand
32.61774841,14.39018227,25.10354135,Sand
35.42596349,33.91237556,33.63554546,Sand
7.640769231,10.06557887,12.0899026,Sand
16.22432277,13.38906593,13.51844363,Sand
16.83702978,13.80403318,14.05229268,Sand
29.60565217,34.21515152,34.59209559,Sand
24.9944122,29.24319493,33.11314251,Sand
25.10130665,29.71367754,20.30805344,Sand
33.08335135,38.82926743,36.83001508,Sand
14.34828297,6.44107604,7.88920975,Sand
13.06050354,15.01327485,14.22455006,Sand
16.79613643,25.25272727,28.02705673,Sand
19.57886978,34.30857599,25.82395299,Sand
31.89519055,16.86694226,25.62141031,Sand
31.9009511,28.54703947,20.69272219,Sand
38.60305164,24.36071429,32.06863442,Sand
12.30820901,11.70278544,12.42667926,Sand
13.90578512,18.40537757,16.25183784,Sand
20.07070049,27.57286785,25.84262918,Sand
31.36605861,21.88004587,34.85936163,Sand
23.81096747,25.35688093,29.63776208,Sand
22.12942215,19.28869252,25.40412371,Sand
32.03118402,37.02214942,39.53538535,Sand
11.72655639,12.41246012,9.177534965,Sand
11.96047697,13.34002041,11.5887931,Sand
40.59230769,33.2077504,22.0163948,Sand
20.96437841,41.97918313,29.96563314,Sand
24.55848064,36.10077264,19.06048951,Sand
24.44908722,23.46362903,26.6509375,Sand
33.76601144,42.95151157,23.42518352,Sand
9.66456044,11.77338979,9.226410106,Sand
16.07513575,16.14287915,9.636542056,Sand
20.06765837,17.23479223,24.92278772,Sand
24.94405402,41.48185482,27.55178442,Sand
25.36154552,18.55540943,33.88205749,Sand
25.57982897,23.27626363,26.89411718,Sand
23.86698297,29.62477477,47.43638511,Sand
13.83973592,11.54848332,11.37862584,Sand
12.19075581,15.20586306,18.47150943,Sand
25.7219457,24.72262156,35.11173737,Sand
32.20580933,33.16266431,37.97656562,Sand
26.63086694,28.24075658,35.12428747,Sand
28.11219952,28.13032787,22.93069366,Sand
38.0512987,42.22211538,34.01244378,Sand
8.687864289,13.58320755,17.19118227,Sand
13.73915833,11.34120937,12.80119048,Sand
13.73915833,22.26132379,15.87263309,Sand
36.31989033,29.22148541,27.79140449,Sand
16.61787414,23.84626393,33.49833479,Sand
33.83387122,25.50933283,27.69659091,Sand
37.9476542,20.06603989,31.58423592,Sand
10.43417727,11.04823285,9.701009658,Sand
18.80479348,14.97015348,15.31682674,Sand
26.14264001,28.0789525,19.95151631,Sand
35.88019802,24.2892724,34.23474903,Sand
39.88512274,21.50143678,30.80776723,Sand
31.28783162,17.45170455,26.56243848,Sand
39.3747297,30.66574122,26.37623847,Sand
21.3289759,12.95992225,14.19550366,Sand
16.17865076,16.4199576,13.80503407,Sand
21.78264672,30.021875,28.86103523,Sand
40.23517633,25.86163957,30.15014275,Sand
37.99989589,26.6755814,34.11836615,Sand
18.71505682,19.89371364,31.10833333,Sand
33.56537132,41.18099893,37.31060817,Sand
8.514473684,9.753553137,8.40078125,Sand
17.60061237,12.74961136,13.49839617,Sand
21.62737012,29.07481539,10.39955631,Sand
30.34477153,27.45115064,30.99837148,Sand
22.60507087,27.48079487,39.23103484,Sand
16.88065881,11.13879173,19.95954545,Sand
37.10982305,32.82880855,28.26278195,Sand
8.114914695,10.95559006,11.12201283,Sand
18.78245581,13.40551181,17.56349462,Sand
23.18684211,24.54181554,21.02235273,Sand
41.84681642,37.62421487,44.41829428,Sand
37.02204446,22.62028986,29.5725,Sand
46.89282429,25.1810559,26.08563776,Sand
34.80196573,35.82458472,37.7078972,Sand
18.30733865,7.833965728,12.17527174,Sand
19.47307551,15.39081633,11.81024874,Sand
24.70625902,18.11931212,23.81715152,Sand
36.62824836,33.65300207,29.11701464,Sand
29.02527786,31.8109143,33.21099025,Sand
22.02834448,25.0953228,17.91512539,Sand
34.04596913,45.81991285,36.00361799,Sand
13.50486866,7.636849044,8.940769525,Sand
12.90086207,15.83408157,15.53856804,Sand
21.15671296,21.60631129,11.69744624,Sand
29.19360508,34.18146998,40.09830116,Sand
35.40409769,26.66794004,48.93764721,Sand
20.65264633,23.32475962,20.8662644,Sand
31.95680681,25.5828196,29.4489312,Sand
6.531127039,10.73987603,13.02470914,Sand
17.65028986,12.02368816,15.44834893,Sand
36.81071429,31.25606061,34.26606583,Sand
40.28615396,33.62375195,25.50657424,Sand
22.61597665,23.02638889,17.02583763,Sand
32.40044872,27.16609957,20.63874172,Sand
25.87330084,32.82884725,30.68235978,Sand
10.17135735,18.67537205,6.0215625,Sand
