soil_type,tillage_method,mulch_rate,depth,soil_water
Sand,Basin,0,300 mm,37.403929
Sand,Basin,0,300 mm,33.41803363
Sand,Basin,0,300 mm,38.05974479
Sand,Basin,0,300 mm,10.12295455
Sand,Basin,0,300 mm,10.93013644
Sand,Basin,0,300 mm,15.25449427
Sand,Basin,0,300 mm,41.85468405
Sand,Basin,0,300 mm,21.82480226
Sand,Basin,0,300 mm,35.69745163
Sand,Basin,0,300 mm,15.14364973
Sand,Basin,0,300 mm,17.85573529
Sand,Basin,0,300 mm,25.65694444
Sand,Basin,0,300 mm,19.23715909
Sand,Basin,0,300 mm,19.64199077
Sand,Basin,0,300 mm,29.03112245
Sand,Basin,0,300 mm,6.049500555
Sand,Basin,0,300 mm,13.75512416
Sand,Basin,0,300 mm,18.54554044
Sand,Plough,0,300 mm,28.83263423
Sand,Plough,0,300 mm,30.31766732
Sand,Plough,0,300 mm,31.07215686
Sand,Plough,0,300 mm,8.163219481
Sand,Plough,0,300 mm,9.345779031
Sand,Plough,0,300 mm,27.26712148
Sand,Plough,0,300 mm,20.80183853
Sand,Plough,0,300 mm,18.94919801
Sand,Plough,0,300 mm,31.96324084
Sand,Plough,0,300 mm,10.73174577
Sand,Plough,0,300 mm,11.37995465
Sand,Plough,0,300 mm,26.37303527
Sand,Plough,0,300 mm,21.90004662
Sand,Plough,0,300 mm,28.38276668
Sand,Plough,0,300 mm,22.36879
Sand,Plough,0,300 mm,19.73670807
Sand,Plough,0,300 mm,16.98195674
Sand,Plough,0,300 mm,20.63062004
Sand,Ripper,0,300 mm,28.63219735
Sand,Ripper,0,300 mm,22.98387097
Sand,Ripper,0,300 mm,36.80026634
Sand,Ripper,0,300 mm,11.45268375
Sand,Ripper,0,300 mm,14.93333333
Sand,Ripper,0,300 mm,19.43245342
Sand,Ripper,0,300 mm,24.17211879
Sand,Ripper,0,300 mm,24.07168459
Sand,Ripper,0,300 mm,46.47229428
Sand,Ripper,0,300 mm,10.02203807
Sand,Ripper,0,300 mm,12.66607539
Sand,Ripper,0,300 mm,23.69290281
Sand,Ripper,0,300 mm,24.98323267
Sand,Ripper,0,300 mm,26.48628915
Sand,Ripper,0,300 mm,31.62681435
Sand,Ripper,0,300 mm,19.37237809
Sand,Ripper,0,300 mm,12.08210685
Sand,Ripper,0,300 mm,20.5965368
Sand,Basin,2,300 mm,35.12428747
Sand,Basin,2,300 mm,22.93069366
Sand,Basin,2,300 mm,34.01244378
Sand,Basin,2,300 mm,17.19118227
Sand,Basin,2,300 mm,12.80119048
Sand,Basin,2,300 mm,15.87263309
Sand,Basin,2,300 mm,33.49833479
Sand,Basin,2,300 mm,27.69659091
Sand,Basin,2,300 mm,31.58423592
Sand,Basin,2,300 mm,9.701009658
Sand,Basin,2,300 mm,15.31682674
Sand,Basin,2,300 mm,19.95151631
Sand,Basin,2,300 mm,30.80776723
Sand,Basin,2,300 mm,26.56243848
Sand,Basin,2,300 mm,26.37623847
Sand,Basin,2,300 mm,14.19550366
Sand,Basin,2,300 mm,13.80503407
Sand,Basin,2,300 mm,28.86103523
Sand,Plough,2,300 mm,28.24075658
Sand,Plough,2,300 mm,28.13032787
Sand,Plough,2,300 mm,42.22211538
Sand,Plough,2,300 mm,13.58320755
Sand,Plough,2,300 mm,11.34120937
Sand,Plough,2,300 mm,22.26132379
Sand,Plough,2,300 mm,23.84626393
Sand,Plough,2,300 mm,25.50933283
Sand,Plough,2,300 mm,20.06603989
Sand,Plough,2,300 mm,11.04823285
Sand,Plough,2,300 mm,14.97015348
Sand,Plough,2,300 mm,28.0789525
Sand,Plough,2,300 mm,21.50143678
Sand,Plough,2,300 mm,17.45170455
Sand,Plough,2,300 mm,30.66574122
Sand,Plough,2,300 mm,12.95992225
Sand,Plough,2,300 mm,16.4199576
Sand,Plough,2,300 mm,30.021875
Sand,Ripper,2,300 mm,26.63086694
Sand,Ripper,2,300 mm,28.11219952
Sand,Ripper,2,300 mm,38.0512987
Sand,Ripper,2,300 mm,8.687864289
Sand,Ripper,2,300 mm,13.73915833
Sand,Ripper,2,300 mm,13.73915833
Sand,Ripper,2,300 mm,16.61787414
Sand,Ripper,2,300 mm,33.83387122
Sand,Ripper,2,300 mm,37.9476542
Sand,Ripper,2,300 mm,10.43417727
Sand,Ripper,2,300 mm,18.80479348
Sand,Ripper,2,300 mm,26.14264001
Sand,Ripper,2,300 mm,39.88512274
Sand,Ripper,2,300 mm,31.28783162
Sand,Ripper,2,300 mm,39.3747297
Sand,Ripper,2,300 mm,21.3289759
Sand,Ripper,2,300 mm,16.17865076
Sand,Ripper,2,300 mm,21.78264672
Sand,Basin,4,300 mm,34.11836615
Sand,Basin,4,300 mm,31.10833333
Sand,Basin,4,300 mm,37.31060817
Sand,Basin,4,300 mm,8.40078125
Sand,Basin,4,300 mm,13.49839617
Sand,Basin,4,300 mm,10.39955631
Sand,Basin,4,300 mm,39.23103484
Sand,Basin,4,300 mm,19.95954545
Sand,Basin,4,300 mm,28.26278195
Sand,Basin,4,300 mm,11.12201283
Sand,Basin,4,300 mm,17.56349462
Sand,Basin,4,300 mm,21.02235273
Sand,Basin,4,300 mm,29.5725
Sand,Basin,4,300 mm,26.08563776
Sand,Basin,4,300 mm,37.7078972
Sand,Basin,4,300 mm,12.17527174
Sand,Basin,4,300 mm,11.81024874
Sand,Basin,4,300 mm,23.81715152
Sand,Plough,4,300 mm,26.6755814
Sand,Plough,4,300 mm,19.89371364
Sand,Plough,4,300 mm,41.18099893
Sand,Plough,4,300 mm,9.753553137
Sand,Plough,4,300 mm,12.74961136
Sand,Plough,4,300 mm,29.07481539
Sand,Plough,4,300 mm,27.48079487
Sand,Plough,4,300 mm,11.13879173
Sand,Plough,4,300 mm,32.82880855
Sand,Plough,4,300 mm,10.95559006
Sand,Plough,4,300 mm,13.40551181
Sand,Plough,4,300 mm,24.54181554
Sand,Plough,4,300 mm,22.62028986
Sand,Plough,4,300 mm,25.1810559
Sand,Plough,4,300 mm,35.82458472
Sand,Plough,4,300 mm,7.833965728
Sand,Plough,4,300 mm,15.39081633
